Number,Translator,Chinese Sentences,Gloss,Note
gen-00001,A,今天妈妈看了报纸。,今天/妈妈/报纸/看/。,
gen-00002,A,她上周准备了比赛。,她/比赛/准备/上周/。,
gen-00003,A,去年医生吃了苹果。,去年/医生/苹果/吃/。,
gen-00004,A,刚才学生带了药。,刚才/学生/药/带/。,
gen-00005,A,客人看了消息。,客人/消息/看/。,
gen-00006,A,护士在公园找了文件。,公园/护士/文件/找/。,
gen-00007,A,他们讨论了故事。,他们/故事/讨论/。,
gen-00008,A,早上我们在医院做了作业，很认真。,早上/我们/医院/作业/做/很认真/。,
gen-00009,A,同事在图书馆做了计划。,图书馆/同事/计划/做/。,
gen-00010,A,你准备了一份礼物。,你/一/份/礼物/准备/。,
gen-00011,A,客人在公司写了故事。,公司/客人/故事/写/。,
gen-00012,A,去年老师在公司吃了晚饭，很快。,去年/老师/公司/晚饭/吃/很快/。,
gen-00013,A,刚才她学了英语。,刚才/她/英语/学/。,
gen-00014,A,同事今天很安静。,同事/今天/安静/。,
gen-00015,A,中午老师在深圳写了作业，一起。,中午/老师/深圳/作业/写/一起/。,
gen-00016,A,客人明天讨论了办法。,客人/办法/讨论/明天/。,
gen-00017,A,孩子今天很重要。,孩子/今天/重要/。,
gen-00018,A,学生准备没准备午饭？,学生/午饭/准备/问/。,
gen-00019,A,学生吃了午饭。,学生/午饭/吃/。,
gen-00020,A,他在车站看了新闻。,车站/他/新闻/看/。,
gen-00021,A,刚才司机在宿舍准备了礼物，很高兴。,刚才/司机/宿舍/礼物/准备/很高兴/。,
gen-00022,A,我们看了五条消息。,我们/五/条/消息/看/。,
gen-00023,A,妈妈讨论没讨论消息？,妈妈/消息/讨论/问/。,
gen-00024,A,孩子在北京做了晚饭。,北京/孩子/晚饭/做/。,
gen-00025,A,老板今天听了音乐。,老板/音乐/听/今天/。,
gen-00026,A,明天他们准备了礼物。,明天/他们/礼物/准备/。,
gen-00027,A,他比孩子更认真。,他/孩子/认真/更/。,
gen-00028,A,护士比老板更忙。,护士/老板/忙/更/。,
gen-00029,A,我准备没准备比赛？,我/比赛/准备/问/。,
gen-00030,A,周末客人写了消息。,周末/客人/消息/写/。,
gen-00031,A,早上医生买了手机。,早上/医生/手机/买/。,
gen-00032,A,妈妈带了手机。,妈妈/手机/带/。,
gen-00033,A,她准备没准备午饭？,她/午饭/准备/问/。,
gen-00034,A,邻居看没看书？,邻居/书/看/问/。,
gen-00035,A,明天客人在门口吃了午饭，很久。,明天/客人/门口/午饭/吃/很久/。,
gen-00036,A,她做了办法。,她/办法/做/。,
gen-00037,A,学生买了五部电视剧。,学生/五/部/电视剧/买/。,
gen-00038,A,昨天司机喝了水。,昨天/司机/水/喝/。,
gen-00039,A,我们上周准备了礼物。,我们/礼物/准备/上周/。,
gen-00040,A,妈妈下午带了药。,妈妈/药/带/下午/。,
gen-00041,A,客人不运动。,客人/运动/不/。,
gen-00042,A,孩子带了五部手机。,孩子/五/部/手机/带/。,
gen-00043,A,她今天很方便。,她/今天/方便/。,
gen-00044,A,他不找问题。,他/问题/找/不/。,
gen-00045,A,学生比我更高。,学生/我/高/更/。,
gen-00046,A,学生喝了咖啡。,学生/咖啡/喝/。,
gen-00047,A,昨天老板在公园写了计划，很高兴。,昨天/老板/公园/计划/写/很高兴/。,
gen-00048,A,我们讨论没讨论消息？,我们/消息/讨论/问/。,
gen-00049,A,司机比学生更认真。,司机/学生/认真/更/。,
gen-00050,A,她在医院喝了水。,医院/她/水/喝/。,
gen-00051,A,医生在食堂学了英语。,食堂/医生/英语/学/。,
gen-00052,A,她吃了蛋糕。,她/蛋糕/吃/。,
gen-00053,A,昨天学生在医院看了消息，很久。,昨天/学生/医院/消息/看/很久/。,
gen-00054,A,医生晚上买了杂志。,医生/杂志/买/晚上/。,
gen-00055,A,他不带礼物。,他/礼物/带/不/。,
gen-00056,A,我喝没喝咖啡？,我/咖啡/喝/问/。,
gen-00057,A,医生刚才听了新闻。,医生/新闻/听/刚才/。,
gen-00058,A,他们在学校学了中文。,学校/他们/中文/学/。,
gen-00059,A,护士在车站写了计划。,车站/护士/计划/写/。,
gen-00060,A,司机买没买报纸？,司机/报纸/买/问/。,
gen-00061,A,老师买了五场比赛。,老师/五/场/比赛/买/。,
gen-00062,A,朋友吃了苹果。,朋友/苹果/吃/。,
gen-00063,A,司机比老板更安静。,司机/老板/安静/更/。,
