2 0 2 3 高 考 时间 到 .	2023年高考到了 .
小时 时间 我 意思 她 明白 .	一个小时的时间才使她明白我的意思 .
小 生命 到 家 大 快乐 给 可以 .	一个小生命的到来会给一个家庭带来极大的快乐 .
美 女 一 .	一个漂亮的女人 .
困难 挑战 忽视 不行 .	一些困难挑战不容忽视 .
学生 这 贫困 学校 退1 .	一些学生因贫困而辍学 .
这 方面 帮助 给 .	一些方面提供帮助 .
一会儿 去 可以 .	一会就可以出去了 .
开始 一直 要 .	一但开始你就要继续 .
分钟 后2 去 上班2 要 .	一分钟后我要去上班了 .
都 辛苦 价值 .	辛苦付出都是值得的 .
都 经过 会 .	都会过去的 .
都 好 方向 发展 会 .	都向着好的方向发展的 .
都 计划 按照 发展 是 .	都是按照计划进行的 .
都 心 顺利 好 .	都顺心就好 .
表情 无力 .	无奈的表情 .
香烟 价格 部分 三 .	香烟的价格主要由三部分组成 .
大 茂盛 法国 花 名字 吊兰 .	一大盆异常茂盛的法国吊兰 .
一定1 做 到 可以 .	一定可以做到 .
一定1 分钟 三 刷 要 .	一定要刷三分钟 .
一定1 身体 保养 好 要 .	一定要好好保养身体 .
一年 内 用 可以 .	一年内可以用 .
行李 找 有 快 我 饭店 给 .	找到行李请立即送到我停留的饭店 .
书 哪里 开始 都 吸引 会 .	一本书不管从哪页看起都会被吸引 .
地震 让 城市 都 塌陷 .	地震让整个城市都变成了废墟 .
声音 都 没有 .	声音都没有了 .
属于1 时间 没有 .	属于自己的时间都没有 .
上 火 不 .	不上火 .
一直 说话 没有 .	一直没有说话 .
一般 打折 票 用 商品 价格 打折 票 多少 扣除 .	一般折价券的使用要依商品价格扣除折价券的面值 .
一般 飞机 书包 最2 大 二 公斤 .	一般飞机上小包的最大重量限度为2千克 .
和 去 吃 好不好 ?	一起去吃点东西好不好 ?
出事 严重 ?	很严重的事故吗 ?
和 照相 .	一起照相吧 .
和 秋千 好不好 ?	一起荡秋千好不好 ?
一路 辛苦 是 .	一路辛苦了吧 .
这里 手机 不一样 .	一部不一样的手机 .
像 鄙视 笑 声音 .	一阵鄙视的笑声 .
七月 八月 左右 盐 湖 颜色 美 .	七八月份的盐湖色彩更加美丽 .
雨 我们 怎么 ?	下雨了我们该怎么办 ?
袋子 三 手提箱 提 二 .	三个袋子和一个手提箱 .
分钟 三 到 ?	三分钟到了吗 ?
三 夏天 丰收 时间 .	三夏是丰收的时间 .
三 大 股票 今天 都 涨 有 .	三大股指今天都上涨了 .
三层 图书馆 .	三层是图书馆 .
上午 温度 三十 五 左右 .	上午的温度还在35摄氏度左右 .
上 一周 我 这里 订 沙发 一 .	上周我在这里订购了一套沙发 .
上 学 迟到 要 .	上学要迟到了 .
上海 今天 天气 阴 改变 小 雨 .	上海今天的天气为多云转小雨 .
上海 站 到 .	上海站到了 .
上课 时间 到 ?	上课的时间到了吗 ?
下 广场 开始 时间 多少 ?	下一场几点开演 ?
下 汽车2 四分钟 到 .	下一班车四分钟后会到这儿 .
下 月 我 年龄 10 8 .	下个月我就18岁了 .
下 月 我 乘船 美国 去 要 .	下个月我要乘船去美国 .
雨 大 .	下了大雨 .
下午 我们 图书馆 去 要 .	下午我们还要去图书馆 .
下 一周 我们 宿营 去 .	下星期我们去宿营 .
下 次 一定 幸运 会 .	下次一定会走运的 .
下 次 你 想 去 哪里 ?	下次你想去哪儿 ?
下 次 迟到 不 .	下次别迟到了 .
下 次 再 约会 可以 ?	下次请再约我好吗 ?
下 次 办 生日 谁 .	下次轮到谁办生日了 .
下 次 运气 更2 好 .	下次运气更好 .
下 水 管道 堵 .	下水道堵了 .
下班1 和 去 吃 .	下班一起去吃饭 .
下班1 前2 应该 雨 不 .	下班之前应该不会下雨 .
下班1 陪 你 去 看1 .	下班陪你去看 .
上班1 不 ?	不上班了吗 ?
不 那 时间 .	不了 , 改天吧 .
热 不 ?	不热吗 ?
大 问题 没有 .	没有大问题 .
你 没关系1 .	不关你的事 .
义务 推 不行2 .	不可推卸的义务 .
吃 够 .	不吃了 .
香烟 商品 牌子 种类 不一样 纳税 标准 不一样 .	不一样的品牌和类型的烟草制品还会有不同的纳税标准 .
国家 不一样 教育 体系 文化2 背景 不一样 .	不一样的国家的教育体系和文化背景都有不一样 .
不喜欢 .	不喜欢 .
坏 .	坏了 .
不好意思 .	不好意思 .
质量 问题 没有 .	没有质量问题 .
放弃 挑选 不行 .	不存在放弃这个选项 .
多 事2 我们 深 思考 要 .	很多事件都值得我们深思 .
开心 不 没关系2 .	不开心也没关系 .
那里 事 忧愁 不 .	不必为那事烦恼 .
担心 不 我们 解决 可以 .	不必担心我们可以解决的 .
打扰 你 不愿意 .	不愿意打搅你 .
一直 这里 样子 不 .	不是一直这样的 .
咖啡 晚上 睡觉 影响 不愿意 .	不愿意咖啡影响晚上的睡眠 .
不明白 .	不明白 .
都 事 这里 样子 做 可以 不是 .	不是所有的事情都可以做 .
问题 不是 .	不是问题 .
最近 生活 怎么 ?	最近生活怎么样 ?
期望 没有 相遇 最 好 .	期望相遇是最美好的 .
不 .	不 .
谢谢 不 .	不用谢 .
突然 忘记 .	突然忘记了 .
感谢 怎么 不知道 .	不知道怎么感谢 .
说 什么 感谢 你 不知道 .	不知道说什么感谢你 .
星期 五 前 完成 可以 不行2 不知道 .	不知道星期五前能不能完成 .
说 什么 不知道 .	不知道该说什么 .
一直 时间 多少 不知道 .	不知道还会持续多久 .
样子 不管 谢谢 你 要 .	不管怎么都要谢谢你 .
根据 封面 判断 不行2 .	不能根据封面判断一本书 .
这里 样子 不行 .	不能这样 .
他们 丢 不行 .	不要丢掉它们 .
台2 上 临时 努力 不行2 .	不要企图在台上临时努力 .
利益 没有 后悔 不 .	不要做无益的后悔 .
坐 那里 学习 不 .	不要坐在那儿学习了 .
别人 告诉 不 .	不要告诉别人哦 .
喝酒 完成 回家 不 .	不要喝点酒回家 .
老 难受 不 .	不要因为变老了而难受 .
电梯 捣乱 不 .	不要在电梯捣乱 .
电梯 里 跳 不 .	不要在电梯内跳 .
汽车2 门 近 站 不 .	不要在车门处停留 .
说 不 .	不要说 .
用 没有 做 不 .	不要多此一举了 .
别人 对 你 评价 重视 不 .	不要在意别人对你的评价 .
垃圾 扔 忘记 不 .	不要忘了把垃圾扔掉 .
借口 不 今天 完成 一定 .	不要找借口 , 你今天必须完成 .
别人 作业 模仿 不 .	不要抄别人的作业 .
食物 吐 不 .	不要把食物吐出来 .
栏杆 把握 一直 不行2 .	不要握住栏杆不放 .
希望 放弃 不 .	不要放弃希望 .
这里 赚 一百 万 机会 放弃 不 .	不要放弃这赢取一百万元的机会 .
失望 不 .	不要失望 .
病 不 .	不要生病 .
没关系2 .	没关系 .
紧张 不 .	不要紧张 .
没关系2 忘记 .	没关系 , 忘了他吧 .
给 对手 分数1 不 .	不要给对手分数 .
最后 线 经过 不 .	不要去触碰底线 .
让 我 等 一直 不 .	不要让我等得太久 .
机会 掌握 要 .	要掌握机会 .
牛奶 泄漏 不 .	不要让牛奶洒出来 .
带1 东西 忘记 不 .	不要忘记带的物品 .
电梯 门 依靠 不 .	不要靠在电梯门上 .
请客 吃 不 捣乱 会 .	不请吃就捣乱 .
房子 买 重要 .	买房子很重要啊 .
小 事情1 .	小事情 .
给 你 增加 麻烦 不愿意 .	我不想给你增加麻烦 .
和 你 合作 开心 .	与你合作很愉快 .
这里 技术 世界 二 国家 有 .	世界上只有2个国家拥有这项技术 .
世界 稳定 不 改变 不是 .	世界不是稳定不变的 .
世界 每 国家 为 中 东 和平 做 什么 可以 ?	世界各国能为中东和平做点什么呢 ?
业余 时间 你 做 什么 ?	业余时间你都干什么 ?
东京 东西 贵 .	东京的物价太贵了 .
东2 北 黑 土地 对 国家 粮食 安全 重要 .	东北黑土地是国家粮食安全的重要保障 .
东2 北 黑 土地 我 国家 重要 农业 生产1 基 房 是 .	东北黑土地是我国重要的农业生产基地之一 .
东2 北 黑 土地 发展 危险1 .	东北黑土地面临着发展危机 .
东2 南 亚洲 种植 榴莲 中国 人 买 多 .	东南亚种植的榴莲 , 中国人买的多 .
东2 岛屿 中国 西沙群岛 属于3 .	东岛是我国西沙群岛之中的一个小岛 .
他俩 说话 没有 .	他俩没有说话 .
左右 短 后 短 不 .	2边剪短些 , 但后面不要剪得太多 .
冬天 树 冷2 死 多 .	严寒的冬天 , 这些树被冻死了 .
有 设计 材料 不一样 价格 不一样 .	设计和材料不一样 , 价格也不一样 .
中国 俄罗斯 关系 一直 好 .	中俄一直保持良好关系 .
中午 休息 .	中午休息 .
中午 饭 吃 坏 .	中午的饭菜好难吃 .
中国 GDP 稳定 升 .	中国GDP保持稳定增长 .
中国 人 储蓄 喜欢 地球 著名 .	中国人喜欢存钱是全球出了名的 .
中国 解决 南海 问题 方法 和平 .	中国用和平谈判的方式来解决南海问题 .
中国 信息 通信 发展 快 .	中国信息通信业取得了快速的发展 .
中国 北 方 沙子 狂风 哪里 来 ?	中国北方的沙尘暴是从哪里来的 ?
中国 古代 人 这里 湖 了解2 少 .	中国古人对该湖泊很少有了解 .
中国 海南 种植 榴莲 三 万 亩 超 .	中国在海南省种植的榴莲树 , 超过了30000亩 .
中国 粮食 安全 重视 .	中国对粮食安全极为重视 .
中国 香烟 税收 百分数 五 .	中国香烟的税率为5% .
中国 世界 第二2 经济 身体 是 .	中国成为世界第二经济体 .
中国 消费1 能力 提高 有 .	中国消费能力有提高 .
中国 世界 人 最2 多 .	中国是世界人口最多的国家 .
中国 种植 榴莲 运输 优势 有 , 新鲜 更1 .	中国本土榴莲在运输上更占优势 , 榴莲会更新鲜 .
中国 香烟 公司 世界 第二2 上 市1 公司 是 .	中国烟草公司成为世界第二大上市公司 .
中国 自来水 喝 不行2 煮 要 .	中国的自来水不能直接喝 , 必须烧开后饮用 .
中国 队伍 决赛 进 完了 .	中国队进入了决赛 .
中国 美国 友谊 进步 有 .	中美2国的友谊有进步 .
为 减少 重量 她 每天 跑步 .	为了减肥 , 她每天都跑步 .
为 生活 我 一 月 赚 五 千 香港 钱 希望 .	为了生活 , 我希望一个月能赚5000港币 .
不信 为什么 ?	为什么不相信 ?
他 车 凹 有 为什么 ?	为什么他车上有凹痕 ?
这里 样 为什么 ?	为什么会这样 ?
在 家 为什么 ?	为什么呆在家里 ?
为什么 ?	为什么呢 ?
它 属性 好 为什么 ?	为什么它的性能这么好 ?
带鱼 中国 人 喜欢 为什么 ?	为什么带鱼受到中国人的喜欢 ?
中国 八 小时 工作 执行 不能2 为什么 ?	为什么我国不能执行八小时工作制呢 ?
给 我 增加 麻烦 为什么 ?	为什么要给我增加麻烦 ?
乱 为什么 ?	为什么这么乱 ?
这里 事情 发现 为什么 ?	为什么这件事情会被发现呢 ?
香皂 卖 降 百分数 十 为什么 ?	为何香皂销售降低了10% ?
足球 比赛 逃跑 课 看 不能2 .	为看足球比赛而旷课 , 那可不行 .
为 社会 贡献 .	为社会做贡献 .
标题 教育 深 真1 做 要 .	主题教育走深走实 .
乘客 意见 怎么 ?	乘客怎么反映他们的意见呢 ?
这里 样子 东西 给 我 .	给我一个这样的东西 .
蛋糕1 像 .	像个蛋糕 .
书 到 我 电话 会 .	书一到我们就给你打电话 .
书 汉 字 多 .	书上有许多汉字 .
书 后 页 模糊 .	书后面几页很模糊 .
书 店 五 周年 祝 都 广场 钱 降 百分数 30 5 .	书店五周年店庆 , 全场降价35% .
书 店 第一次 这里 活动 不是 .	书店不是第一次搞这种活动 .
买 多 打折 票 给 .	买的多就送特价优惠券 .
花生 随便2 丢 文明 不 .	乱丢花生壳是不文明的行为 .
吵架 时间 长 她 安静 .	争论过后很久 , 她才平静下来 .
事情 发展 怎么 ?	事情进展得怎么样 ?
二 楼层 我们 宿舍 是 .	二楼是我们的宿舍 .
二氧化碳 改变 汽油 技术 研究 阶段2 是 .	二氧化碳变汽油技术还处于实验室研究阶段 .
二氧化碳 改变 汽油 技术 鼓励 多 创新 .	二氧化碳转化为汽油技术的发展还可以激发更多的创新 .
云 吞 面 好 .	云吞面好了 .
五 谷 种植 根据 土地 改变 可以 .	五谷种植能够因地制宜 .
大 自然 美好 享受 要 .	享受大自然的美好 .
一天 享受 有 .	享受一天 .
亲爱 生日 快乐 .	亲爱的 , 生日快乐 .
人 自然 共 生 关系 是 .	人与自然是共生关系 .
人 无线电话 救 信号 发 可以 .	人们可以通过无线电发出求援信号 .
这里 人 咖啡 喝 聊天 可以 .	人们在这里一边喝着咖啡一边聊天 .
政治 党2 人 选择 投票 怎么 ?	人们是如何选择应该投票给哪个政党 ?
人 生活 成本 高 .	人们的生活成本较高 .
人 消费1 观念 市场 改变 有 .	人们的消费观念和消费市场正在发生转变 .
人 生活 物质2 一 要 不是 .	人们的生活不再单单追求物质上的满足 .
他 劣迹 人们 说 有 .	人们说出了他的恶行 .
人 口 老 改变 严重 .	人口老龄化问题很严重 .
人民 医院 哪 ?	人民医院怎么走 ?
人民 生活 水平 提高 .	人民生活水平的提高了 .
人生 困难 失败 多 .	人生有许多困难和失败 .
人类 正常 生活 一样 .	人类依旧过着正常的生活 .
人 都 到 ?	人都到齐了吗 ?
高兴 为什么 ?	为什么这么高兴 ?
什么 情况 ?	什么情况 ?
疼痛2 什么 时间 开始 ?	什么时候开始痛的 ?
怀孕 心 声音 什么 时间 听 可以 ?	什么时候我们可以听到胎儿的心跳 ?
内阁 什么 ?	什么是内阁 ?
卡拉ok 什么 ?	什么是卡拉OK ?
这里 接受 房 赚 钱 可以 谁 说 .	谁说这类回收站挣钱呢 .
都 问题 可以 ?	什么问题都可以 ?
今天 和 去 玩 怎么 ?	今天一起去玩怎么样 ?
今天 上午 饭 吃 完 .	今天上午吃完饭 .
今天 天气 冷 不 热 不 .	今天不冷也不热 .
今天 休息 .	今天休息 .
今天 下雨 不 ?	今天会下雨吗 ?
今天 现在 完成 .	今天先进行到这里吧 .
今天 日期 什么 ?	今天是几月几号 ?
今天 太阳 有 .	今天有太阳 .
今天 工资 发 .	今天发工资 .
今天 兴趣 事情 有 .	今天发生的有趣的事情 .
今天 天气 好 你 好 ?	今天天气真不错 , 你还好吗 ?
今天 天气 好 真 .	今天天气真好 .
今天 烦闷 最1 .	今天好闷啊 .
今天 妈妈 护送 你 学校 去 会 .	今天妈妈会送你去学校 .
今天 学校 休息 .	今天学校放假 .
今天 暴风骤雨 有 .	今天有暴风雨 .
今天 旷工 有 .	今天就旷工了 .
今天 心情 好 很 .	今天心情特别好 .
